"date","region","material","distr_chan","quantity","check_nm","check_pos"
2021-03-10,R003,"485205","2",16,"00000020210310017284","0000000002"
2021-07-10,R004,"439153","2",1,"00000002021071001898","0000000001"
2021-02-02,R002,"21100","1",20,"00000020210202058336","0000000002"
2021-01-27,R001,"1369917","1",9,"00000020210127027827","0000000002"
2021-01-20,R003,"531932","2",2,"00000020210120016318","0000000001"
2021-03-24,R001,"848687","2",1,"00000020210324016490","0000000001"
2021-03-19,R001,"1149477","2",9,"00000020210319015248","0000000018"
2021-03-11,R002,"1428541","2",8,"00000020210311016712","0000000005"
2021-03-05,R001,"1385973","2",14,"00000020210305029701","0000000001"
2021-04-14,R001,"1385973","1",3,"00000020210414037248","0000000001"
2021-06-28,R004,"1413280","2",16,"00000020210628025231","0000000001"
2021-04-05,R001,"839172","2",11,"00000020210405013325","0000000001"
2021-02-14,R004,"708268","1",9,"00000020210214023044","0000000001"
2021-07-17,R001,"764928","2",1,"00000020210717011882","0000000012"
2021-01-16,R003,"910805","2",20,"00000020210116015540","0000000005"
2021-01-31,R002,"213679","2",13,"00000020210131013758","0000000005"
2021-04-14,R001,"424201","2",11,"00000020210414014159","0000000001"
2021-01-29,R004,"1060003","2",11,"00000020210129029153","0000000014"
2021-04-05,R001,"1132805","1",17,"00000020210405058007","0000000008"
2021-05-14,R002,"703805","1",20,"00000020210514037824","0000000004"
2021-07-10,R001,"531001","1",6,"00000002021071001840","0000000004"
2021-05-17,R004,"803570","2",13,"00000020210517015834","0000000003"
2021-03-23,R002,"745919","1",5,"00000020210323032830","0000000004"
2021-02-12,R004,"1200262","2",18,"00000020210212046224","0000000004"
2021-03-19,R004,"825539","1",18,"00000020210319033233","0000000004"
2021-02-21,R001,"1012614","1",4,"00000020210221033808","0000000001"
2021-01-28,R002,"808326","1",4,"00000020210128021473","0000000001"
2021-07-20,R001,"21100","1",12,"00000002021072002535","0000000006"
2021-01-27,R004,"572471","1",14,"00000002021012706487","0000000007"
2021-04-23,R003,"282676","2",20,"00000020210423012762","0000000002"
2021-04-30,R002,"1173915","2",2,"00000020210430013391","0000000008"
2021-07-07,R003,"1415416","1",15,"00000020210707043449","0000000001"
2021-05-05,R001,"1171344","2",12,"00000020210505021174","0000000001"
2021-04-03,R001,"979657","1",13,"00000020210403013450","0000000006"
2021-04-23,R004,"469620","2",12,"00000020210423016242","0000000010"
2021-02-01,R001,"252291","2",1,"00000020210201016913","0000000001"
2021-03-13,R003,"643091","2",6,"00000000202103130160","0000000002"
2021-02-17,R003,"474315","1",9,"00000020210217028625","0000000002"
2021-03-30,R003,"473905","2",10,"00000020210330012478","0000000003"
2021-04-21,R003,"601059","2",2,"00000020210421016190","0000000002"
2021-07-14,R002,"411660","2",2,"00000020210714032748","0000000003"
2021-07-06,R004,"1326245","1",12,"00000020210706011429","0000000001"
2021-04-12,R004,"1116325","1",19,"00000020210412016979","0000000001"
2021-01-08,R002,"1168312","1",9,"00000020210108018977","0000000002"
2021-07-11,R001,"716515","2",9,"00000020210711033741","0000000001"
2021-02-17,R002,"1231674","2",10,"00000020210217038944","0000000001"
2021-02-18,R004,"366848","2",11,"00000002021021801806","0000000001"
2021-03-14,R003,"1411147","1",14,"00000002021031403140","0000000010"
2021-01-25,R004,"567181","1",18,"00000000020210125073","0000000008"
2021-03-05,R004,"643091","2",19,"00000020210305019619","0000000007"
2021-03-09,R004,"467658","1",1,"00000020210309077918","0000000001"
2021-03-01,R003,"333636","1",2,"00000020210301043034","0000000004"
2021-04-02,R001,"742625","2",19,"00000020210402016969","0000000008"
2021-06-29,R003,"704844","1",19,"00000020210629013740","0000000003"
2021-03-07,R002,"312107","2",6,"00000020210307036241","0000000001"
2021-04-11,R001,"912406","1",2,"00000002021041103436","0000000001"
2021-02-10,R004,"602616","1",20,"00000020210210059454","0000000001"
2021-06-04,R002,"1361365","1",6,"00000020210604013326","0000000004"
2021-04-13,R003,"366962","2",18,"00000020210413016602","0000000003"
2021-04-10,R002,"912503","2",16,"00000020210410013938","0000000002"
2021-03-04,R004,"1096884","2",5,"00000020210304013071","0000000001"
2021-06-09,R002,"1380430","1",8,"00000000202106090581","0000000011"
2021-01-16,R004,"302689","2",8,"00000020210116038810","0000000006"
2021-01-11,R001,"623047","1",15,"00000020210111012029","0000000001"
2021-05-29,R002,"1425166","1",15,"00000020210529061442","0000000023"
2021-01-28,R001,"803570","1",12,"00000002021012801564","0000000001"
2021-07-14,R002,"722435","2",12,"00000020210714011174","0000000001"
2021-04-05,R003,"1374650","2",15,"00000020210405019374","0000000001"
2021-02-15,R001,"1211957","1",12,"00000002021021501825","0000000002"
2021-03-18,R003,"307277","2",8,"00000020210318025642","0000000005"
2021-04-15,R004,"410277","2",1,"00000020210415012956","0000000001"
2021-01-20,R003,"669388","1",1,"00000020210120029461","0000000002"
2021-06-09,R002,"1124360","2",7,"00000020210609035745","0000000007"
2021-02-07,R003,"391973","2",2,"00000020210207059353","0000000005"
2021-01-19,R004,"611219","1",19,"00000020210119048649","0000000023"
2021-03-06,R004,"1371636","2",18,"00000020210306017503","0000000001"
2021-04-15,R004,"509861","2",2,"00000020210415024302","0000000002"
2021-04-20,R003,"619254","1",7,"00000020210420036771","0000000002"
2021-02-28,R003,"1080087","2",13,"00000020210228014142","0000000001"
2021-05-28,R004,"347270","2",1,"00000020210528023234","0000000001"
2021-01-05,R004,"1264854","1",19,"00000020210105023965","0000000004"
2021-05-20,R003,"1307280","1",20,"00000020210520028436","0000000003"
2021-01-05,R003,"302689","1",16,"00000020210105014289","0000000001"
2021-04-15,R001,"386124","2",17,"00000020210415077243","0000000009"
2021-05-31,R001,"644320","2",12,"00000020210531027588","0000000002"
2021-01-23,R004,"899974","2",16,"00000020210123034217","0000000002"
2021-04-25,R002,"377970","1",14,"00000020210425021054","0000000001"
2021-05-13,R001,"989365","2",18,"00000020210513022228","0000000005"
2021-03-13,R001,"935147","2",6,"00000020210313049516","0000000001"
2021-03-22,R002,"1278864","2",15,"00000020210322037275","0000000004"
2021-05-17,R001,"913071","2",11,"00000020210517038035","0000000002"
2021-02-16,R001,"1391986","2",13,"00000020210216035591","0000000011"
2021-07-03,R001,"247862","2",14,"00000020210703031250","0000000002"
2021-05-13,R002,"1149412","2",10,"00000020210513012217","0000000008"
2021-01-24,R001,"1159352","2",15,"00000020210124079800","0000000003"
2021-04-18,R001,"359884","1",3,"00000020210418031397","0000000003"
2021-07-15,R004,"1338539","2",7,"00000020210715012811","0000000002"
2021-06-16,R004,"1390252","2",12,"00000020210616012526","0000000001"
2021-01-19,R003,"1128088","2",4,"00000020210119011843","0000000002"
2021-01-21,R004,"21100","1",3,"00000020210121014036","0000000003"
2021-01-31,R004,"1024872","1",20,"00000020210131027950","0000000006"
2021-07-13,R003,"720016","1",11,"00000020210713021072","0000000003"
2021-04-08,R004,"1214606","1",15,"00000020210408016482","0000000001"
2021-03-19,R001,"1121279","1",10,"00000020210319011993","0000000003"
2021-02-26,R002,"1119579","1",5,"00000020210226037043","0000000005"
2021-03-16,R001,"309606","1",12,"00000020210316017413","0000000004"
2021-02-16,R002,"673473","2",20,"00000020210216052722","0000000001"
2021-02-04,R002,"1160542","2",17,"00000020210204022382","0000000001"
2021-01-25,R002,"484984","1",13,"00000020210125037530","0000000002"
2021-07-17,R003,"1359493","2",6,"00000020210717032527","0000000001"
2021-02-15,R003,"789911","2",2,"00000020210215019934","0000000002"
2021-01-21,R004,"1389669","2",11,"00000020210121015747","0000000002"
2021-01-19,R003,"1072402","1",15,"00000020210119029442","0000000002"
2021-07-21,R003,"1348138","2",19,"00000020210721022231","0000000008"
2021-02-28,R003,"441702","1",11,"00000020210228037723","0000000002"
2021-03-11,R004,"501826","1",6,"00000020210311018249","0000000002"
2021-01-10,R004,"199593","1",10,"00000020210110026033","0000000002"
2021-01-11,R001,"856830","1",8,"00000020210111019947","0000000001"
2021-01-16,R003,"1330048","1",13,"00000002021011601356","0000000002"
2021-06-05,R004,"1059945","1",10,"00000020210605033792","0000000003"
2021-03-09,R002,"646737","2",13,"00000020210309018937","0000000005"
2021-06-02,R002,"219595","2",18,"00000020210602061199","0000000003"
2021-01-14,R004,"746345","1",6,"00000020210114015224","0000000003"
2021-02-07,R003,"1080513","1",17,"00000020210207019176","0000000002"
2021-03-31,R002,"266925","1",18,"00000020210331031318","0000000001"
2021-04-07,R004,"1117546","1",15,"00000020210407022569","0000000017"
2021-01-18,R002,"1400960","2",3,"00000020210118014435","0000000002"
2021-03-28,R001,"1032862","1",15,"00000020210328038272","0000000001"
2021-02-12,R003,"722243","2",18,"00000020210212026591","0000000001"
2021-03-11,R004,"676000","1",12,"00000020210311019860","0000000007"
2021-07-22,R001,"1231843","1",4,"00000020210722042053","0000000005"
2021-04-22,R001,"246335","2",15,"00000020210422018857","0000000001"
2021-04-21,R003,"553643","1",15,"00000002021042101419","0000000001"
2021-06-09,R001,"1103173","2",2,"00000020210609061858","0000000001"
2021-04-22,R004,"877557","2",18,"00000020210422036915","0000000001"
2021-05-13,R002,"566787","1",16,"00000020210513052966","0000000004"
2021-04-12,R003,"390122","2",11,"00000020210412014121","0000000002"
2021-06-10,R004,"1182002","1",11,"00000020210610063139","0000000001"
2021-01-16,R001,"777950","2",18,"00000020210116011297","0000000001"
2021-03-25,R002,"750067","2",2,"00000020210325026625","0000000002"
2021-03-28,R002,"1318720","1",5,"00000020210328019491","0000000003"
2021-02-05,R003,"302689","1",9,"00000020210205033250","0000000006"
2021-02-04,R003,"944263","2",2,"00000020210204011670","0000000005"
2021-04-09,R002,"476572","1",19,"00000020210409041688","0000000001"
2021-06-21,R002,"831348","1",8,"00000020210621011453","0000000001"
2021-04-24,R002,"537337","2",6,"00000020210424028457","0000000003"
2021-01-26,R001,"1330062","1",17,"00000020210126115017","0000000001"
2021-02-09,R001,"935147","1",9,"00000020210209017698","0000000001"
2021-01-20,R003,"1008173","2",16,"00000020210120027374","0000000009"
2021-06-21,R004,"840260","1",4,"00000002021062101901","0000000005"
2021-03-15,R002,"675471","2",20,"00000020210315031712","0000000002"
2021-02-27,R003,"302689","2",7,"00000020210227028838","0000000001"
2021-02-04,R004,"424839","2",8,"00000020210204014965","0000000001"
2021-06-30,R001,"1327827","2",2,"00000020210630065269","0000000005"
2021-02-08,R003,"1275886","2",14,"00000020210208017243","0000000008"
2021-03-25,R004,"862615","2",14,"00000020210325039467","0000000001"
2021-05-05,R001,"1057184","1",8,"00000020210505014095","0000000003"
2021-05-05,R001,"531001","2",20,"00000020210505019774","0000000002"
2021-03-14,R002,"956076","1",2,"00000020210314028862","0000000001"
2021-01-28,R003,"209175","1",14,"00000020210128032066","0000000001"
2021-03-31,R003,"898325","2",20,"00000020210331033624","0000000005"
2021-06-11,R001,"439153","2",17,"00000020210611033078","0000000002"
2021-05-28,R003,"569543","1",19,"00000020210528021489","0000000001"
2021-03-25,R004,"347270","2",6,"00000020210325056478","0000000007"
2021-04-11,R003,"1286833","2",4,"00000020210411041821","0000000001"
2021-07-17,R001,"716515","2",5,"00000020210717012941","0000000001"
2021-04-28,R004,"1371149","1",14,"00000020210428021169","0000000001"
2021-05-08,R004,"361457","2",1,"00000020210508077881","0000000002"
2021-04-04,R001,"367201","2",19,"00000020210404014073","0000000005"
2021-05-14,R002,"1036610","2",19,"00000020210514046713","0000000002"
2021-06-18,R001,"601059","2",13,"00000020210618034095","0000000001"
2021-03-31,R002,"1207603","2",18,"00000020210331012213","0000000001"
2021-07-02,R003,"678239","1",9,"00000002021070204415","0000000002"
2021-06-06,R002,"1361365","1",15,"00000020210606018171","0000000001"
2021-04-22,R002,"1268933","2",3,"00000020210422075695","0000000004"
2021-05-12,R004,"917594","1",17,"00000020210512036586","0000000001"
2021-04-22,R004,"234826","2",17,"00000020210422039121","0000000002"
2021-04-21,R002,"507431","2",1,"00000020210421023487","0000000002"
2021-01-24,R002,"1245515","1",4,"00000020210124014033","0000000008"
2021-02-17,R004,"1348138","1",5,"00000020210217034324","0000000007"
2021-01-17,R004,"953897","2",19,"00000020210117042985","0000000001"
2021-01-08,R002,"246657","1",3,"00000020210108024491","0000000001"
2021-04-16,R002,"1392835","1",17,"00000020210416039042","0000000003"
2021-03-27,R001,"847293","2",13,"00000020210327014861","0000000001"
2021-01-29,R004,"912503","1",6,"00000020210129033149","0000000002"
2021-06-04,R003,"803570","1",1,"00000020210604012060","0000000009"
2021-04-14,R001,"1333131","1",12,"00000002021041401890","0000000003"
2021-04-18,R001,"877083","2",17,"00000020210418019885","0000000003"
2021-04-29,R002,"840260","2",13,"00000020210429023487","0000000001"
2021-01-03,R001,"485205","1",5,"00000020210103025281","0000000002"
2021-01-12,R004,"1159090","1",6,"00000020210112011785","0000000003"
2021-03-24,R002,"1146928","2",13,"00000020210324011396","0000000009"
2021-02-23,R004,"1153855","1",13,"00000020210223016228","0000000002"
2021-04-21,R004,"512480","1",1,"00000020210421035766","0000000001"
2021-05-05,R001,"1156721","1",7,"00000020210505021982","0000000001"
2021-02-25,R002,"871296","2",4,"00000020210225037198","0000000001"
2021-01-14,R002,"880733","2",17,"00000020210114013001","0000000003"
2021-03-16,R002,"631667","1",17,"00000020210316037134","0000000011"
2021-02-02,R003,"497575","2",7,"00000020210202032906","0000000003"
2021-07-26,R002,"1082832","2",12,"00000020210726014469","0000000001"
2021-03-22,R001,"957263","1",16,"00000020210322044795","0000000002"
2021-02-08,R004,"1140541","2",3,"00000020210208026102","0000000006"
2021-06-10,R003,"1333131","1",16,"00000020210610013728","0000000004"
2021-01-30,R001,"1107526","2",12,"00000002021013001784","0000000001"
2021-03-01,R004,"369103","2",20,"00000002021030101279","0000000020"
2021-04-18,R002,"762892","2",10,"00000020210418044191","0000000001"
2021-05-23,R002,"933169","1",13,"00000020210523015558","0000000003"
2021-05-08,R004,"981242","1",20,"00000020210508052455","0000000001"
2021-02-15,R004,"996253","1",13,"00000002021021502390","0000000001"
2021-05-24,R004,"742625","1",4,"00000020210524017009","0000000001"
2021-02-01,R004,"847293","2",13,"00000020210201054968","0000000001"
2021-06-04,R003,"456409","1",1,"00000020210604041929","0000000003"
2021-04-02,R002,"289726","2",3,"00000020210402012842","0000000001"
2021-06-07,R004,"1327815","1",15,"00000002021060703181","0000000002"
2021-05-21,R001,"625643","1",2,"00000002021052103238","0000000001"
2021-07-24,R001,"342975","1",1,"00000020210724014128","0000000001"
2021-02-06,R002,"606453","2",6,"00000020210206012764","0000000003"
2021-07-23,R001,"1402888","1",18,"00000020210723043574","0000000002"
2021-01-27,R002,"1034413","2",7,"00000020210127028725","0000000001"
2021-04-06,R003,"1008173","2",8,"00000020210406019572","0000000001"
2021-04-01,R004,"1348409","1",20,"00000020210401014098","0000000006"
2021-03-14,R002,"1171344","2",6,"00000020210314037340","0000000001"
2021-03-25,R003,"734286","1",19,"00000020210325044931","0000000001"
2021-03-13,R002,"1040716","1",2,"00000020210313044652","0000000003"
2021-03-03,R002,"1171344","2",7,"00000020210303012782","0000000006"
2021-05-10,R004,"300997","2",18,"00000020210510012155","0000000002"
2021-06-03,R001,"751429","2",3,"00000020210603035857","0000000010"
2021-01-27,R002,"1188174","2",2,"00000020210127011754","0000000003"
2021-02-11,R001,"1159090","2",6,"00000020210211073533","0000000001"
2021-05-13,R004,"1132016","1",10,"00000020210513036434","0000000002"
2021-07-12,R001,"1098579","1",14,"00000020210712015592","0000000001"
2021-05-31,R003,"899448","1",7,"00000020210531033728","0000000001"
2021-02-16,R003,"295093","1",15,"00000020210216022337","0000000003"
2021-03-05,R001,"637634","1",10,"00000020210305021459","0000000005"
2021-01-10,R002,"861542","1",4,"00000020210110112660","0000000005"
2021-03-11,R003,"910805","2",12,"00000020210311036225","0000000003"
2021-03-03,R003,"886744","2",17,"00000020210303047669","0000000002"
2021-05-25,R004,"1366537","2",11,"00000020210525017176","0000000001"
2021-04-30,R002,"1124360","1",16,"00000020210430017828","0000000001"
2021-02-05,R001,"1054282","1",14,"00000002021020501529","0000000003"
2021-06-10,R001,"617864","2",8,"00000020210610016166","0000000006"
2021-05-14,R003,"438328","2",8,"00000020210514029627","0000000002"
