"plant","calday","calmonth","billnum","billitem","material","netval","tax","qty","rpa_sat","timestamp"
M010,2021-01-02,202101,900425402,11,1000038416,66.67,13.33,1,80.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,12,1000038436,45.00,9.00,3,54.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,13,1000038667,210.00,42.00,3,252.00,2023-04-10 13:12:10.000
M003,2021-01-03,202101,900427645,1,1000035386,252.50,50.50,1,303.00,2023-04-10 13:12:10.000
M005,2021-01-02,202101,900428875,1,106773781,288.33,57.67,1,346.00,2023-04-10 13:12:10.000
M014,2021-01-02,202101,900429714,1,1000033419,48.18,4.82,1,53.00,2023-04-10 13:12:10.000
M014,2021-01-02,202101,900429714,2,1000033442,50.83,10.17,1,61.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,1,105279571,23.33,4.67,1,28.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,2,106489772,453.33,90.67,1,544.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,3,107439970,63.33,12.67,1,76.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,4,1000020917,633.33,126.67,2,760.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,5,1000030149,81.67,16.33,2,98.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,6,1000034686,72.50,14.00,1,87.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,7,1000043792,7223.33,1444.67,2,8668.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,8,1000045848,33.33,6.67,1,40.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,9,1000046345,674.17,134.83,1,809.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,10,1000047878,236.67,47.33,4,284.00,2023-04-10 13:12:10.000
M004,2021-01-03,202101,900429722,11,1000048448,193.33,38.67,1,232.00,2023-04-10 13:12:10.000
M014,2021-01-03,202101,900430188,1,106912745,81.67,16.33,1,98.00,2023-04-10 13:12:10.000
M014,2021-01-03,202101,900430188,2,1000023977,155.00,31.00,2,186.00,2023-04-10 13:12:10.000
M005,2021-01-03,202101,900431416,1,1000048391,3405.00,681.00,3,4086.00,2023-04-10 13:12:10.000
M005,2021-01-03,202101,900431416,2,1000048613,68.33,13.67,1,82.00,2023-04-10 13:12:10.000
M007,2021-01-04,202101,900433396,1,106565798,272.50,54.50,1,327.00,2023-04-10 13:12:10.000
M007,2021-01-04,202101,900433396,2,106706108,64.17,12.83,1,77.00,2023-04-10 13:12:10.000
M007,2021-01-04,202101,900433396,3,106706116,200.00,40.00,3,240.00,2023-04-10 13:12:10.000
M007,2021-01-04,202101,900433396,4,106748711,80.83,16.17,1,97.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900434234,1,1000044348,1242.50,248.50,3,1491.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900434234,2,1000044354,20.00,4.00,1,24.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900434234,3,1000044492,40.00,8.00,1,48.00,2023-04-10 13:12:10.000
M004,2021-01-02,202101,900435579,1,2027276004,352.50,70.50,3,423.00,2023-04-10 13:12:10.000
M004,2021-01-02,202101,900435579,2,2027289001,32.50,6.00,1,39.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900437572,1,1000036827,210.00,21.00,1,231.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900437572,2,1000036828,1.67,0.33,1,2.00,2023-04-10 13:12:10.000
M003,2021-01-03,202101,900438717,1,2027215001,45.83,9.17,1,55.00,2023-04-10 13:12:10.000
M003,2021-01-03,202101,900438717,2,2027216001,29.17,5.83,1,35.00,2023-04-10 13:12:10.000
M003,2021-01-03,202101,900438726,1,646,854.55,85.45,2,940.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,1,1000018959,113.33,22.67,2,136.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,2,1000040932,64.17,12.83,1,77.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,3,2025334003,60.00,12.00,1,72.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,4,2026703003,2510.00,502.00,1,3012.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,5,2027827002,233.33,46.67,1,280.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,6,2029513003,412.50,82.50,1,495.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,7,2030026006,56.36,5.64,1,62.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,8,2030067001,51.67,10.33,1,62.00,2023-04-10 13:12:10.000
M009,2021-01-05,202101,900438962,9,2031375003,3593.64,359.36,1,3953.00,2023-04-10 13:12:10.000
M011,2021-02-03,202102,900439071,1,2486,33.33,6.67,2,40.00,2023-04-10 13:12:10.000
M011,2021-02-03,202102,900439071,2,20404,3416.67,683.33,1,4100.00,2023-04-10 13:12:10.000
M011,2021-02-03,202102,900439071,3,20704,250.00,50.00,3,300.00,2023-04-10 13:12:10.000
M011,2021-02-03,202102,900439071,4,25901,22.73,2.27,1,25.00,2023-04-10 13:12:10.000
M001,2021-01-02,202101,900439255,1,107969217,30.83,6.17,1,37.00,2023-04-10 13:12:10.000
M001,2021-01-02,202101,900439256,1,662670,475.45,47.55,1,523.00,2023-04-10 13:12:10.000
M001,2021-01-02,202101,900439256,2,817851,16.67,3.33,1,20.00,2023-04-10 13:12:10.000
M011,2021-01-02,202101,900439258,1,1000026913,45.83,9.17,1,55.00,2023-04-10 13:12:10.000
M009,2021-01-02,202101,900439259,1,19067,55.00,11.00,1,66.00,2023-04-10 13:12:10.000
M009,2021-01-02,202101,900439259,2,19372,320.91,32.09,1,353.00,2023-04-10 13:12:10.000
M009,2021-01-02,202101,900439259,3,19657,769.17,153.83,1,923.00,2023-04-10 13:12:10.000
M009,2021-01-02,202101,900439259,4,25390,34.17,6.83,1,41.00,2023-04-10 13:12:10.000
M003,2021-01-03,202101,900439304,1,106295855,26.36,2.64,1,29.00,2023-04-10 13:12:10.000
M006,2021-01-05,202101,900439424,1,1000049179,70.00,7.00,1,77.00,2023-04-10 13:12:10.000
M006,2021-01-05,202101,900439424,2,1000049185,11.67,2.33,1,14.00,2023-04-10 13:12:10.000
M003,2021-01-16,202101,900439968,1,1000038109,127.50,25.00,1,153.00,2023-04-10 13:12:10.000
M003,2021-01-16,202101,900439968,2,1000038131,261.67,52.33,1,314.00,2023-04-10 13:12:10.000
M003,2021-01-16,202101,900439968,3,1000038154,22.00,4.00,1,27.00,2023-04-10 13:12:10.000
M003,2021-01-16,202101,900439968,4,1000038162,390.83,78.17,1,469.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,1,1000045077,140.00,28.00,2,168.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,2,1000045093,49.17,9.83,1,59.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,3,1000045099,77.50,15.00,1,93.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,4,1000045156,130.83,26.17,1,157.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,5,1000045188,1240.00,248.00,4,1488.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,6,1000045189,77.50,15.00,1,93.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,7,1000045192,10.00,2.00,1,12.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,8,1000045280,24.17,4.83,1,29.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,9,1000045301,42.50,8.00,3,51.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,10,1000045372,52.50,10.00,1,63.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,11,1000045387,310.00,62.00,1,372.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,12,1000045388,15.83,3.17,1,19.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,13,1000045428,11.82,1.18,1,13.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,14,1000045469,47.27,4.73,1,52.00,2023-04-10 13:12:10.000
M012,2021-01-18,202101,900439975,15,1000045534,242.73,24.27,3,267.00,2023-04-10 13:12:10.000
M013,2021-01-07,202101,900440286,1,17617,22.00,4.00,1,27.00,2023-04-10 13:12:10.000
M013,2021-01-07,202101,900440286,2,19657,1538.33,307.67,2,1846.00,2023-04-10 13:12:10.000
M013,2021-01-07,202101,900440286,3,25392,56.67,11.33,4,68.00,2023-04-10 13:12:10.000
M004,2021-01-07,202101,900440287,1,1000009358,70.00,14.00,1,84.00,2023-04-10 13:12:10.000
M004,2021-01-07,202101,900440287,2,1000009393,70.83,14.17,1,85.00,2023-04-10 13:12:10.000
M007,2021-01-07,202101,900441170,1,1000021719,450.91,45.09,4,496.00,2023-04-10 13:12:10.000
M007,2021-01-07,202101,900441170,2,1000021780,18.33,3.67,1,22.00,2023-04-10 13:12:10.000
M007,2021-01-07,202101,900441170,3,1000021852,3497.50,699.50,1,4197.00,2023-04-10 13:12:10.000
M007,2021-01-07,202101,900441170,4,1000021853,7.00,1.00,1,9.00,2023-04-10 13:12:10.000
M007,2021-01-07,202101,900441170,5,1000021854,36.67,7.33,1,44.00,2023-04-10 13:12:10.000
M013,2021-01-01,202101,900442104,1,1000039720,3280.00,656.00,4,3936.00,2023-04-10 13:12:10.000
M005,2021-01-04,202101,900442185,1,55316,46.67,9.33,1,56.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900442315,1,17615,3236.67,647.33,4,3884.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900442315,2,17618,34.17,6.83,1,41.00,2023-04-10 13:12:10.000
M005,2021-02-06,202102,900442354,1,43789,155.00,31.00,3,186.00,2023-04-10 13:12:10.000
M005,2021-02-06,202102,900442354,2,43791,60.83,12.17,1,73.00,2023-04-10 13:12:10.000
M005,2021-02-06,202102,900442354,3,168222,126.67,25.33,2,152.00,2023-04-10 13:12:10.000
M005,2021-02-06,202102,900442354,4,1000002479,86.36,8.64,1,95.00,2023-04-10 13:12:10.000
M005,2021-02-06,202102,900442354,5,1000005061,60.00,12.00,1,72.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,1,646,427.27,42.73,1,470.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,2,16951,21.67,4.33,1,26.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,3,19719,40.83,8.17,1,49.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,4,19758,432.50,86.50,1,519.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,5,20776,9.17,1.83,1,11.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,6,32204,65.45,6.55,1,72.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,7,35687,76.67,15.33,4,92.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,8,40580,53.33,10.67,1,64.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,9,53258,149.09,14.91,1,164.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,10,55239,4119.17,823.83,1,4943.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,11,55255,65.83,13.17,1,79.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,12,55414,19.17,3.83,1,23.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,13,55417,820.83,164.17,1,985.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,14,55445,163.64,16.36,3,180.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,15,55482,390.00,78.00,1,468.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,16,55571,94.55,9.45,2,104.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,17,55617,15.83,3.17,1,19.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,18,63127,79.09,7.91,1,87.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,19,70245,263.33,52.67,1,316.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900443454,20,73203,43.33,8.67,1,52.00,2023-04-10 13:12:10.000
M007,2021-01-03,202101,900448100,1,1000016345,80.00,8.00,1,88.00,2023-04-10 13:12:10.000
M007,2021-01-03,202101,900448100,2,1000016439,5.00,1.00,1,6.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,1,1000047583,20.91,2.09,1,23.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,2,1000047604,40.00,8.00,1,48.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,3,1000047613,48.33,9.67,1,58.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,4,1000047682,18.33,3.67,1,22.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,5,1000047699,27.00,5.00,1,33.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,6,1000047704,168.33,33.67,1,202.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,7,1000047799,24.17,4.83,1,29.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,8,1000047800,23.33,4.67,1,28.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,9,1000047801,25.00,5.00,1,30.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,10,1000047812,316.67,63.33,1,380.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,11,1000047991,40.00,8.00,1,48.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,12,1000048071,70.00,14.00,2,84.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,13,1000048077,42.50,8.00,3,51.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,14,1000048160,311.67,62.33,1,374.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,15,1000048199,156.67,31.33,2,188.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,16,1000048387,60.00,12.00,1,72.00,2023-04-10 13:12:10.000
M003,2021-01-02,202101,900448670,17,1000048388,46.67,9.33,1,56.00,2023-04-10 13:12:10.000
M013,2021-01-08,202101,900450317,1,646,427.27,42.73,1,470.00,2023-04-10 13:12:10.000
M013,2021-01-08,202101,900450317,2,25408,622.50,124.50,1,747.00,2023-04-10 13:12:10.000
M003,2021-01-08,202101,900450318,1,1000037214,149.09,14.91,4,164.00,2023-04-10 13:12:10.000
M003,2021-01-08,202101,900450318,2,1000037380,76.67,15.33,1,92.00,2023-04-10 13:12:10.000
M003,2021-01-08,202101,900450318,3,1000037383,378.33,75.67,1,454.00,2023-04-10 13:12:10.000
M003,2021-01-08,202101,900450318,4,1000037499,20.00,2.00,2,22.00,2023-04-10 13:12:10.000
M003,2021-01-08,202101,900450318,5,1000037517,23.33,4.67,1,28.00,2023-04-10 13:12:10.000
M004,2021-01-01,202101,900452892,1,32204,65.45,6.55,1,72.00,2023-04-10 13:12:10.000
M004,2021-01-01,202101,900452892,2,55239,4119.17,823.83,1,4943.00,2023-04-10 13:12:10.000
M005,2021-01-01,202101,900452893,1,1000046996,375.00,75.00,1,450.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,1,1000009703,400.83,80.17,1,481.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,2,1000010043,170.91,17.09,4,188.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,3,1000010362,28.18,2.82,1,31.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,4,1000010865,90.91,9.09,4,100.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,5,1000011055,101.67,20.33,1,122.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,6,1000011056,10.83,2.17,1,13.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,7,1000011057,29.17,5.83,1,35.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,8,1000011063,757.50,151.50,3,909.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,9,1000011135,356.67,71.33,1,428.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,10,1000011211,31.67,6.33,1,38.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,11,1000011269,138.18,13.82,2,152.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,12,1000011997,441.67,88.33,1,530.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,13,1000012422,35.00,7.00,2,42.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,14,1000012426,315.83,63.17,1,379.00,2023-04-10 13:12:10.000
M013,2021-01-04,202101,900455580,15,1000012659,78.33,15.67,2,94.00,2023-04-10 13:12:10.000
M001,2021-01-05,202101,900459451,1,1000035817,43.33,8.67,1,52.00,2023-04-10 13:12:10.000
M001,2021-01-05,202101,900459451,2,2024965002,51.67,10.33,2,62.00,2023-04-10 13:12:10.000
M014,2021-01-04,202101,900460176,1,1000004183,75.00,15.00,1,90.00,2023-04-10 13:12:10.000
M009,2021-01-04,202101,900460999,1,724391,45.83,9.17,1,55.00,2023-04-10 13:12:10.000
M009,2021-01-04,202101,900460999,2,7000009745,242.50,48.50,3,291.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,1,2027807001,25.00,5.00,1,30.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,2,2027809001,15.00,3.00,1,18.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,3,2027813001,5.83,1.17,1,7.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,4,2027813003,14.17,2.83,1,17.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,5,2027813006,18.33,3.67,1,22.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,6,2027815002,192.50,38.50,1,231.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,7,2027816003,455.83,91.17,1,547.00,2023-04-10 13:12:10.000
M006,2021-01-03,202101,900461403,8,2027819006,48.18,4.82,1,53.00,2023-04-10 13:12:10.000
M013,2021-01-03,202101,900461404,1,662668,68.33,13.67,1,82.00,2023-04-10 13:12:10.000
M013,2021-01-03,202101,900461404,2,893138,73.33,14.67,1,88.00,2023-04-10 13:12:10.000
M013,2021-01-03,202101,900461404,3,7000009745,80.83,16.17,1,97.00,2023-04-10 13:12:10.000
M012,2021-01-02,202101,900461790,1,646,427.27,42.73,1,470.00,2023-04-10 13:12:10.000
M012,2021-01-03,202101,900461841,1,662670,475.45,47.55,1,523.00,2023-04-10 13:12:10.000
M012,2021-01-03,202101,900461841,2,724391,91.67,18.33,2,110.00,2023-04-10 13:12:10.000
M008,2021-01-03,202101,900462155,1,893138,73.33,14.67,1,88.00,2023-04-10 13:12:10.000
M006,2021-01-01,202101,900463131,1,1000008679,18.18,1.82,1,20.00,2023-04-10 13:12:10.000
M006,2021-01-01,202101,900463131,2,1000008745,225.00,45.00,1,270.00,2023-04-10 13:12:10.000
M006,2021-01-01,202101,900463131,3,1000008767,22.00,4.00,1,27.00,2023-04-10 13:12:10.000
M006,2021-01-01,202101,900463131,4,1000008790,16.36,1.64,2,18.00,2023-04-10 13:12:10.000
M006,2021-01-01,202101,900463131,5,1000009324,56.67,11.33,1,68.00,2023-04-10 13:12:10.000
M004,2021-01-05,202101,900463265,1,662670,1426.36,142.64,3,1569.00,2023-04-10 13:12:10.000
M004,2021-01-05,202101,900463265,2,724391,137.50,27.00,3,165.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,1,1000026133,122.50,24.00,3,147.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,2,1000026135,210.00,42.00,3,252.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,3,1000026148,56.36,5.64,1,62.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,4,1000026154,1014.55,101.45,3,1116.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,5,1000026161,21.82,2.18,1,24.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,6,1000026163,2383.33,476.67,1,2860.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,7,1000026165,328.33,65.67,2,394.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,8,1000026189,88.18,8.82,1,97.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,9,1000026286,188.33,37.67,1,226.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,10,1000026344,276.67,55.33,1,332.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,11,1000026388,245.83,49.17,1,295.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,12,1000026416,63.33,12.67,1,76.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,13,1000026418,25.83,5.17,1,31.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,14,1000026420,71.82,7.18,1,79.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,15,1000026423,83.33,16.67,2,100.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,16,1000026424,20.83,4.17,1,25.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,17,1000026440,26.67,5.33,1,32.00,2023-04-10 13:12:10.000
M006,2021-02-15,202102,900464120,18,1000026444,10.91,1.09,4,12.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900464304,1,1000023986,226.67,45.33,4,272.00,2023-04-10 13:12:10.000
M011,2021-01-02,202101,900464756,1,7000009745,80.83,16.17,1,97.00,2023-04-10 13:12:10.000
M006,2021-01-16,202101,900464818,1,19758,432.50,86.50,1,519.00,2023-04-10 13:12:10.000
M006,2021-01-16,202101,900464818,2,25391,174.55,17.45,1,192.00,2023-04-10 13:12:10.000
M006,2021-01-16,202101,900464818,3,25408,622.50,124.50,1,747.00,2023-04-10 13:12:10.000
