address,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zipcode
Address: 1847 10th Avenue,1847 10th Ave,2.0,2.0,1688.0,02/16/2016,1000000.0,37.753756,-122.466995,Inner Sunset,6.0,SingleFamily,1927.0,1106369.0,94122.0
Address: 442 Mangels Avenue,442 Mangels Ave,3.0,4.0,1619.0,02/16/2016,210000.0,37.733307,-122.447605,Sunnyside,7.0,SingleFamily,1966.0,1483668.0,94127.0
Address: 650 Turk Street #706,650 Turk St UNIT 706,1.0,0.0,398.0,02/12/2016,525000.0,37.782379,-122.420166,Van Ness - Civic Center,4.0,Condominium,2008.0,565702.0,94102.0
Address: 66 Rondel Place,66 Rondel Pl,4.5,4.0,2615.0,02/12/2016,2300000.0,37.763849,-122.421259,Mission,9.0,SingleFamily,1906.0,1613306.0,94103.0
Address: 1610 Sacramento Street #5,1610 Sacramento St APT 5,2.0,2.0,1252.0,02/12/2016,1450000.0,37.791904,-122.419806,Nob Hill,4.0,Condominium,2002.0,1386684.0,94109.0
Address: 1536 Pacific Avenue #1,1536 Pacific Ave # 1,2.0,3.0,1931.4379881370114,02/12/2016,2500000.0,37.795383,-122.420623,Nob Hill,6.0,Condominium,2009.0,2125825.0,94109.0
Address: 541 Prentiss Street,541 Prentiss St,2.0,3.0,1200.0,02/12/2016,171000.0,37.73639,-122.412103,Bernal Heights,5.0,SingleFamily,1953.0,1261487.0,94110.0
Address: 31 Hartford Street,31 Hartford St,1.0,2.0,1265.0,02/12/2016,871500.0,37.76207,-122.43369,Eureka Valley - Dolores Heights - Castro,5.0,Condominium,1902.0,1262136.0,94114.0
Address: 1600 Webster Street #106,1600 Webster St APT 106,1.0,1.0,859.0,02/12/2016,900000.0,37.78568,-122.430955,Lower Pacific Heights,4.0,Condominium,2005.0,820965.0,94115.0
Address: 233 18th Avenue,233 18th Ave,1.0,2.0,1308.0,02/12/2016,1020000.0,37.783586,-122.477794,Central Richmond,5.0,Condominium,1914.0,1077432.0,94121.0
Address: 248 17th Avenue,248 17th Ave,1.5,2.0,1429.0,02/12/2016,1410500.0,37.783401,-122.476049,Central Richmond,6.0,Condominium,1922.0,1170744.0,94121.0
Address: 1374 45th Avenue,1374 45th Ave,1.0,3.0,1771.0,02/12/2016,951000.0,37.761002,-122.504565,Outer Sunset,8.0,SingleFamily,1905.0,956441.0,94122.0
Address: 1087 Palou Avenue,1087 Palou Ave,2.0,3.0,1452.0,02/12/2016,430000.0,37.728354,-122.381454,Bayview,8.0,SingleFamily,1900.0,536665.0,94124.0
Address: 1486 Underwood Avenue,1486 Underwood Ave,2.0,3.0,1115.0,02/12/2016,680000.0,37.728777,-122.389531,Bayview,6.0,SingleFamily,1931.0,631581.0,94124.0
Address: 350 Lansdale Avenue,350 Lansdale Ave,3.0,3.0,2378.0,02/12/2016,1440000.0,37.735851,-122.458653,Westwood Highlands,8.0,SingleFamily,1940.0,1709182.0,94127.0
Address: 120 Ulloa Street,120 Ulloa St,2.5,2.0,2063.0,02/12/2016,1700000.0,37.744348,-122.455305,Forest Hill Extension,10.0,SingleFamily,1937.0,1755644.0,94127.0
Address: 159 Middlefield Drive,159 Middlefield Dr,3.0,3.0,2200.0,02/12/2016,234000.0,37.731436,-122.486486,Lakeshore,6.0,SingleFamily,1950.0,1455842.0,94132.0
Address: 8 Dunsmuir Street,8 Dunsmuir St,1.0,2.0,1250.0,02/12/2016,700000.0,37.730809,-122.414514,Portola,5.0,SingleFamily,1936.0,964978.0,94134.0
Address: 22 West View Avenue,22 W View Ave,1.0,2.0,970.0,02/12/2016,744000.0,37.730916,-122.418729,Portola,5.0,SingleFamily,1943.0,736105.0,94134.0
Address: 4160 17th Street,4160 17th St,2.0,2.0,911.0,02/11/2016,1100000.0,37.762498,-122.438686,Corona Heights,4.0,Condominium,1904.0,938211.0,94114.0
Address: 1315 21st Avenue,1315 21st Ave,1.25,2.0,1621.0,02/11/2016,1325000.0,37.763108,-122.479527,Central Sunset,6.0,SingleFamily,1911.0,1225848.0,94122.0
Address: 4229 26th Street,4229 26th St,3.0,3.0,2048.0,02/11/2016,2525000.0,37.747788,-122.434812,Noe Valley,7.0,SingleFamily,1900.0,2641338.0,94131.0
Address: 361 Texas Street,361 Texas St,2.0,3.0,2080.0,02/10/2016,2300000.0,37.761845,-122.395171,Potrero Hill,7.0,SingleFamily,1906.0,2058271.0,94107.0
Address: 667 Shotwell Street #A,667 Shotwell St # A,1.0,1.0,1212.0,02/10/2016,775000.0,37.757851,-122.415629,Mission,4.0,Condominium,1890.0,1197178.0,94110.0
Address: 2919 Pacific Avenue #6,2919 Pacific Ave APT 6,2.0,2.0,1125.0,02/10/2016,1457000.0,37.79197,-122.44344,Pacific Heights,4.0,Condominium,1905.0,1488108.0,94115.0
Address: 2455 14th Avenue,2455 14th Ave,3.75,4.0,1846.0,02/10/2016,1525000.0,37.742271,-122.470518,West Portal,5.0,SingleFamily,1932.0,1195679.0,94116.0
Address: 30 Beaumont Avenue,30 Beaumont Ave,1.0,3.0,1164.0,02/10/2016,550000.0,37.780933,-122.454866,Lone Mountain,6.0,SingleFamily,1922.0,1247699.0,94118.0
Address: 108 16th Avenue,108 16th Ave,5.0,7.0,4808.0,02/10/2016,3800000.0,37.785945,-122.475319,Lake,15.0,MultiFamily2To4,1914.0,4498161.0,94118.0
Address: 766 30th Avenue,766 30th Ave,4.0,4.0,2520.0,02/10/2016,1900000.0,37.774837,-122.489397,Central Richmond,8.0,SingleFamily,1927.0,1931715.0,94121.0
Address: 601 Van Ness Avenue #629,601 Van Ness Ave APT 629,1.0,1.0,706.0,02/09/2016,620000.0,37.781386,-122.421406,Van Ness - Civic Center,3.0,Condominium,1982.0,623886.0,94102.0
Address: 260 King Street #815,260 King St UNIT 815,1.0,1.0,659.6977094929607,02/09/2016,800000.0,37.777641,-122.393417,South of Market,3.0,Condominium,2004.0,807995.0,94107.0
Address: 2040 Fell Street #12,2040 Fell St APT 12,1.0,2.0,1593.0,02/09/2016,872500.0,37.772597,-122.451587,North Panhandle,4.0,Condominium,1925.0,996489.0,94117.0
Address: 784 Spruce Street,784-786 Spruce St,3.0,8.0,2600.0,02/09/2016,1535000.0,37.780606,-122.452663,Lone Mountain,10.0,MultiFamily2To4,1927.0,1524759.0,94118.0
Address: 1444 17th Avenue #101,1444 17th Ave # 101,3.0,3.0,1902.0,02/09/2016,1600000.0,37.760979,-122.474469,Inner Sunset,6.0,Condominium,1996.0,1419587.0,94122.0
Address: 1618 12th Avenue,1618 12th Ave,3.0,4.0,2900.0,02/09/2016,1625000.0,37.757906,-122.468775,Inner Sunset,8.0,Condominium,2001.0,1597121.0,94122.0
Address: 5696 Diamond Heights Boulevard,5696 Diamond Heights Blvd,3.5,3.0,2435.0,02/09/2016,2050000.0,37.738831,-122.439262,Diamond Heights,7.0,SingleFamily,1980.0,2016900.0,94131.0
Address: 901 Post Street #2,901 Post St # 2,2.0,3.0,1207.0,02/08/2016,885000.0,37.787089,-122.416761,Downtown,9.0,Condominium,2002.0,1626076.0,94109.0
Address: 66 Cleary Court #1504,66 Cleary Ct APT 1504,2.0,3.0,1106.0,02/08/2016,960000.0,37.784298,-122.427058,Western Addition,6.0,Condominium,1963.0,957064.0,94109.0
Address: 1800 Bryant Street #202,1800 Bryant St STE 202,2.0,1.0,935.0,02/08/2016,825000.0,37.764088,-122.410828,Mission,3.0,Condominium,2000.0,889532.0,94110.0
Address: 3919 17th Street,3919 17th St,1.0,2.0,968.0,02/08/2016,1065000.0,37.76241,-122.433456,Eureka Valley - Dolores Heights - Castro,4.0,MultiFamily2To4,1910.0,989982.0,94114.0
Address: 325 Locust Street,325 Locust St,2.0,3.0,1950.0,02/08/2016,1925000.0,37.787916,-122.452338,Presidio Heights,7.0,Condominium,1905.0,2521256.0,94118.0
Address: 50 Longview Court,50 Longview Ct,2.0,4.0,1703.0,02/08/2016,1250000.0,37.748415,-122.450795,Midtown Terrace,8.0,SingleFamily,1955.0,1358996.0,94131.0
Address: 2243 Franklin Street,2243 Franklin St,2.0,2.0,1463.0,02/05/2016,1950000.0,37.795139,-122.425309,Pacific Heights,7.0,Condominium,1900.0,1922387.0,94109.0
Address: 576 Brunswick Street,576 Brunswick St,1.0,2.0,1200.0,02/05/2016,609000.0,37.710208,-122.445075,Crocker Amazon,5.0,SingleFamily,1931.0,637413.0,94112.0
Address: 79 Seward Street,79 Seward St,2.0,3.0,2650.0,02/05/2016,2350000.0,37.758626,-122.440801,Eureka Valley - Dolores Heights - Castro,8.0,SingleFamily,1929.0,2211797.0,94114.0
Address: 2105 Buchanan Street #6,2105 Buchanan St APT 6,2.0,3.0,1700.0,02/05/2016,1770000.0,37.789597,-122.430787,Pacific Heights,5.0,Condominium,1921.0,1137507.0,94115.0
Address: 2017 Buchanan Street,2017 Buchanan St,4.0,4.0,2850.0,02/05/2016,2800000.0,37.788913,-122.430728,Lower Pacific Heights,7.0,Condominium,1890.0,3032479.0,94115.0
Address: 1015 Ashbury Street #2,1015 Ashbury St APT 2,2.0,2.0,1252.0,02/05/2016,1350000.0,37.76432,-122.446342,Parnassus - Ashbury,4.0,Condominium,1913.0,1300995.0,94117.0
Address: 170 Bridgeview Drive,170 Bridgeview Dr,2.0,3.0,1297.0,02/05/2016,725000.0,37.735503,-122.397062,Silver Terrace,6.0,SingleFamily,1964.0,797170.0,94124.0
Address: 884 Ingerson Avenue,884 Ingerson Ave,3.0,5.0,1789.0,02/05/2016,850000.0,37.71805,-122.390617,Bayview,8.0,SingleFamily,1964.0,910894.0,94124.0
Address: 475 Princeton Street,475 Princeton St,1.0,2.0,1254.0,02/05/2016,860000.0,37.72396,-122.413872,Portola,5.0,SingleFamily,1949.0,789444.0,94134.0
Address: 333 1st Street #1702,333 1st St UNIT 1702,1.0,1.0,713.0,02/04/2016,885000.0,37.787031,-122.393642,South Beach,3.0,Condominium,2004.0,903954.0,94105.0
Address: 861 Rhode Island Street #A,961A Rhode Island St,2.5,4.0,2166.0,06/11/2015,1600000.0,37.757681,-122.401578,Potrero Hill,11.0,MultiFamily2To4,1908.0,1599122.0,94107.0
Address: 415 Amherst Street,415 Amherst St,1.0,2.0,1000.0,02/04/2016,760000.0,37.724352,-122.415124,Portola,4.0,SingleFamily,1949.0,765401.0,94134.0
Address: 201 Holly Park Circle,201 Holly Park Cir,2.0,3.0,2250.0,02/03/2016,227500.0,37.737764,-122.418634,Bernal Heights,8.0,SingleFamily,1910.0,1402002.0,94110.0
Address: 30 Otsego Avenue,30 Otsego Ave,2.0,3.0,1806.0,02/03/2016,1300000.0,37.726945,-122.439334,Mission Terrace,7.0,SingleFamily,1924.0,1211468.0,94112.0
Address: 80 Venus Street,80 Venus St,1.5,3.0,1200.0,02/03/2016,810000.0,37.731771,-122.397584,Silver Terrace,5.0,SingleFamily,1941.0,696627.0,94124.0
Address: 1816 Castro Street,1816 Castro St,1.0,2.0,884.0,02/03/2016,850000.0,37.747035,-122.433868,Noe Valley,5.0,Condominium,1918.0,1027971.0,94131.0
Address: 149 Laidley Street,149 Laidley St,2.0,3.0,2100.0,02/03/2016,1950000.0,37.739623,-122.428899,Glen Park,10.0,SingleFamily,1900.0,1880749.0,94131.0
Address: 737 Tehama Street #1,737 Tehama St # 1,2.0,2.0,977.0,02/02/2016,1030000.0,37.775184,-122.411567,South of Market,5.0,Condominium,2006.0,1004132.0,94103.0
Address: 319 De Long Street,319 De Long St,1.0,2.0,875.0,02/02/2016,565000.0,37.709411,-122.465031,Outer Mission,4.0,SingleFamily,1950.0,642369.0,94112.0
Address: 1655 48th Avenue,1655 48th Ave,1.0,2.0,1230.214532867045,02/02/2016,762000.0,37.755586,-122.508063,Outer Sunset,4.0,SingleFamily,1904.0,711217.0,94122.0
Address: 4219 Folsom Street,4219 Folsom St,2.0,3.0,1539.0,02/01/2016,950000.0,37.734334,-122.413534,Bernal Heights,7.0,SingleFamily,1976.0,965984.0,94110.0
Address: 403 Main Street #518N,403 Main St APT 518N,2.0,2.0,1118.0,01/29/2016,1415000.0,37.788008,-122.389643,South Beach,5.0,Condominium,1997.0,1277409.0,94105.0
Address: 188 Minna Street #38C,188 Minna St APT 38C,2.5,2.0,1670.0,01/29/2016,7500000.0,37.786289,-122.401374,Yerba Buena,5.0,Condominium,2005.0,4118863.0,94105.0
Address: 1200 Gough Street #22B,1200 Gough St APT 22B,1.0,0.0,550.0,01/29/2016,650000.0,37.78482,-122.423994,Van Ness - Civic Center,2.0,Condominium,1966.0,667585.0,94109.0
Address: 979 Guerrero Street,979 Guerrero St,2.0,3.0,1440.0,01/29/2016,1275000.0,37.755554,-122.42316,Mission,7.0,Condominium,1885.0,1472631.0,94110.0
Address: 1940 Buchanan Street,1940 Buchanan St,1.0,3.0,1480.0,01/29/2016,1250000.0,37.788038,-122.430024,Lower Pacific Heights,5.0,Condominium,1904.0,1574733.0,94115.0
Address: 2275 47th Avenue,2275 47th Ave,2.5,4.0,2193.0,01/29/2016,1225000.0,37.744067,-122.506187,Outer Parkside,7.0,SingleFamily,1962.0,1358925.0,94116.0
Address: 988 Fulton Street #326,988 Fulton St APT 326,1.0,1.0,417.0,01/29/2016,555000.0,37.778034,-122.43251,Western Addition,5.0,Condominium,1999.0,588432.0,94117.0
Address: 487 19th Avenue,487 19th Ave,4.0,4.0,2596.0,01/29/2016,1900000.0,37.778728,-122.478448,Central Richmond,9.0,SingleFamily,1916.0,2102133.0,94121.0
Address: 448 Gold Mine Drive,448 Gold Mine Dr,3.0,4.0,2200.0,01/29/2016,1558000.0,37.739244,-122.4371,Diamond Heights,7.0,SingleFamily,1968.0,1775216.0,94131.0
Address: 8200 Oceanview Terrace #310,8200 Oceanview Ter APT 310,2.0,2.0,969.0,01/29/2016,658000.0,37.71048,-122.467645,Ingleside Heights,4.0,Condominium,2002.0,629228.0,94132.0
Address: 750 Delano Avenue,750 Delano Ave,1.0,2.0,840.0,01/28/2016,738000.0,37.719505,-122.445759,Outer Mission,4.0,SingleFamily,1987.0,715379.0,94112.0
Address: 5 Lobos Street,5 Lobos St,2.0,4.0,1726.0,01/28/2016,950000.0,37.714682,-122.452504,Oceanview,7.0,SingleFamily,1974.0,939221.0,94112.0
Address: 4524 Balboa Street,4524 Balboa St,1.0,2.0,1200.0,01/28/2016,961000.0,37.775504,-122.507477,Outer Richmond,5.0,SingleFamily,1918.0,913987.0,94121.0
Address: 527 Randolph Street,527 Randolph St,1.0,2.0,950.0,01/28/2016,695500.0,37.714051,-122.467584,Ingleside Heights,4.0,SingleFamily,1947.0,643848.0,94132.0
Address: 1407 Montgomery Street #2,1407 Montgomery St APT 2,1.0,1.0,1000.0,01/28/2016,976000.0,37.802299,-122.404941,Telegraph Hill,3.0,Condominium,1870.0,1044112.0,94133.0
Address: 574 Natoma Street #102,574 Natoma St APT 102,1.0,0.0,376.0,01/27/2016,502000.0,37.779014,-122.409446,South of Market,1.0,Condominium,2012.0,513968.0,94103.0
Address: 65 Bishop Street,65 Bishop St,1.0,3.0,800.0,01/27/2016,675000.0,37.718075,-122.404179,Visitacion Valley,4.0,SingleFamily,1900.0,692286.0,94134.0
Address: 701 Pennsylvania Avenue,701 Pennsylvania Ave # T13,2.0,1.0,842.0,03/24/2015,640000.0,37.75738,-122.39283,Potrero Hill,2.0,Condominium,1999.0,905401.0,94107.0
Address: 88 King Street #1121,88 King St UNIT 1121,2.0,2.0,1111.0,01/26/2016,1650000.0,37.780117,-122.389648,South Beach,4.0,MultiFamily2To4,2000.0,1376614.0,94107.0
Address: 57 Moneta Way,57 Moneta Way,1.0,4.0,1325.0,01/26/2016,860000.0,37.712918,-122.449446,Outer Mission,6.0,SingleFamily,1929.0,932005.0,94112.0
Address: 164 Seville Street,164 Seville St,3.0,3.0,2234.0,01/26/2016,1125000.0,37.711727,-122.437085,Crocker Amazon,3.0,SingleFamily,1924.0,917185.0,94112.0
Address: 145 Alpine Terrace,145-147 Alpine Ter,5.5,6.0,4749.0,01/26/2016,5100000.0,37.768186,-122.437144,Buena Vista Park,10.0,SingleFamily,2007.0,4791629.0,94117.0
Address: 3023 Broderick Street,3023 Broderick St,2.5,3.0,1591.0,01/26/2016,1800000.0,37.798244,-122.44452,Cow Hollow,9.0,Condominium,1938.0,2145649.0,94123.0
Address: 4173 Cesar Chavez Street,4173 Cesar Chavez St,4.0,4.0,3480.0,01/26/2016,4500000.0,37.747092,-122.432912,Noe Valley,8.0,SingleFamily,1900.0,2962385.0,94131.0
Address: 830 Alabama Street #B,830 Alabama St # B,2.0,3.0,1853.0,01/25/2016,1370000.0,37.75816,-122.411765,Mission,9.0,Condominium,1900.0,1642925.0,94110.0
Address: 95 Stoneyford Avenue,95 Stoneyford Ave,2.0,3.0,1400.0,01/25/2016,910000.0,37.729425,-122.42111,Excelsior,6.0,SingleFamily,1942.0,863116.0,94112.0
Address: 518 Oak Street,518 Oak St,1.0,2.0,1105.0,01/22/2016,1475000.0,37.774467,-122.428491,Hayes Valley,6.0,SingleFamily,1870.0,1365025.0,94102.0
Address: 1160 Mission Street #1908,1160 Mission St UNIT 1908,2.0,2.0,1201.0,01/22/2016,1475000.0,37.778705,-122.412635,South of Market,4.0,Condominium,2008.0,1418851.0,94103.0
Address: 451 Kansas Street #461,451 Kansas St UNIT 461,1.0,0.0,450.0,01/22/2016,640000.0,37.764114,-122.402984,Potrero Hill,2.0,Condominium,2007.0,631335.0,94107.0
Address: 2002 Pacific Avenue #4,2002 Pacific Ave APT 4,3.5,3.0,3291.0,01/22/2016,4200000.0,37.794429,-122.428513,Pacific Heights,7.0,Condominium,1961.0,4163277.0,94109.0
Address: 554 Anderson Street,554 Anderson St,1.0,2.0,1015.0,01/22/2016,920000.0,37.736454,-122.415593,Bernal Heights,5.0,SingleFamily,1910.0,738780.0,94110.0
Address: 566 South Van Ness Avenue #9,566 S Van Ness Ave APT 9,2.0,2.0,941.0,01/22/2016,945000.0,37.763992,-122.417823,Mission,5.0,Condominium,2007.0,1000174.0,94110.0
Address: 624 Hampshire Street,624 Hampshire St,1.0,2.0,962.0,01/22/2016,1250000.0,37.761456,-122.408461,Mission,5.0,SingleFamily,1900.0,1082093.0,94110.0
Address: 40 Mirabel Avenue,40 Mirabel Ave,2.0,2.0,1393.0,01/22/2016,1530000.0,37.746247,-122.416564,Bernal Heights,6.0,SingleFamily,1924.0,1481020.0,94110.0
Address: 712 Dorado Terrace #53,712 Dorado Ter # 53,2.5,2.0,1397.8994270753756,01/22/2016,780000.0,37.725575,-122.4616,Mount Davidson Manor,4.0,Condominium,1985.0,773173.0,94112.0
Address: 264 Grand View Avenue,264 Grand View Ave,1.0,1.0,590.0,01/22/2016,1193000.0,37.754001,-122.441489,Twin Peaks,5.0,SingleFamily,1907.0,1064070.0,94114.0
Address: 4450 24th Street,4450 24th St,3.0,4.0,2500.0,01/22/2016,1400000.0,37.751072,-122.441843,Noe Valley,5.0,SingleFamily,1900.0,2088377.0,94114.0
Address: 584 Sanchez Street,584-588 Sanchez St,4.0,4.0,2610.0,01/22/2016,2210000.0,37.759799,-122.43077,Eureka Valley - Dolores Heights - Castro,13.0,MultiFamily2To4,1900.0,3230417.0,94114.0
Address: 300 Castro Street,300 Castro St,3.0,4.0,2451.0,01/22/2016,2400000.0,37.763918,-122.435614,Corona Heights,12.0,Miscellaneous,1900.0,2089411.0,94114.0
Address: 2319 39th Avenue,2319 39th Ave,2.0,4.0,1362.0,01/22/2016,890000.0,37.743541,-122.497548,Outer Parkside,6.0,SingleFamily,1955.0,1233120.0,94116.0
Address: 27 Cutler Avenue,27 Cutler Ave,3.0,4.0,1622.0,01/28/2016,1325000.0,37.736824,-122.505856,Outer Parkside,7.116520373343278,SingleFamily,1949.0,751906.0,94116.0
Address: 1535 Oak Street #2,1535 Oak St APT 2,1.0,1.0,765.0,01/22/2016,815000.0,37.771928,-122.4446,Haight-Ashbury,12.0,Condominium,1924.0,940621.0,94117.0
Address: 558 17th Avenue,558-560 17TH Ave,3.0,5.0,1990.0,01/22/2016,1240000.0,37.777463,-122.47562,Central Richmond,8.0,MultiFamily2To4,1916.0,1810327.0,94121.0
Address: 1722 31st Avenue,1722 31st Ave,2.0,4.0,1824.0,01/22/2016,1700000.0,37.755071,-122.489092,Central Sunset,6.0,SingleFamily,1940.0,965204.0,94122.0
Address: 17 San Andreas Way,17 San Andreas Way,4.5,5.0,4095.0,01/22/2016,3750000.0,37.734454,-122.463624,St. Francis Wood,9.0,SingleFamily,1937.0,4381290.0,94127.0
Address: 319 Arleta Avenue,319 Arleta Ave,3.0,5.0,1875.0,01/22/2016,417000.0,37.714392,-122.409432,Visitacion Valley,7.0,SingleFamily,1989.0,862924.0,94134.0
Address: 4390 26th Street,4390 26th St,3.0,5.0,2837.0,01/22/2016,2600000.0,37.748021,-122.437943,Noe Valley,9.0,SingleFamily,1928.0,2706923.0,94131.0
Address: 250 King Street #1008,250 King St UNIT 1008,1.0,1.0,787.0,01/21/2016,825000.0,37.777374,-122.393157,South of Market,3.0,Condominium,2004.0,794744.0,94107.0
Address: 724 Noe Street,724 Noe St,2.0,3.0,1577.0,01/21/2016,1680000.0,37.757402,-122.432758,Eureka Valley - Dolores Heights - Castro,6.0,SingleFamily,1927.0,1934498.0,94114.0
Address: 855 La Playa Street #162,855 La Playa St APT 162,1.0,1.0,805.0,01/21/2016,578000.0,37.772199,-122.510375,Outer Richmond,4.0,Condominium,1982.0,587098.0,94121.0
Address: 855 La Playa Street #360,855 La Playa St APT 360,2.0,2.0,1193.0,01/21/2016,750000.0,37.772199,-122.510375,Outer Richmond,4.0,Condominium,1982.0,851710.0,94121.0
Address: 4220 Irving Street,4220 Irving St,2.0,3.0,1675.0,01/21/2016,1150000.0,37.762654,-122.503312,Outer Sunset,7.0,SingleFamily,1950.0,966107.0,94122.0
Address: 1423 Oakdale Avenue,1423 Oakdale Ave,2.0,3.0,1125.0,01/21/2016,638000.0,37.732554,-122.38726,Bayview,4.0,SingleFamily,1938.0,601102.0,94124.0
Address: 15 Bishop Street,15 Bishop St,3.0,4.0,2200.0,01/21/2016,851000.0,37.718594,-122.403955,Visitacion Valley,8.0,SingleFamily,1980.0,873975.0,94134.0
Address: 9 Edgar Place,9 Edgar Pl,4.0,4.0,1800.0,01/20/2016,1175000.0,37.720695,-122.452421,Ingleside,8.0,SingleFamily,1925.0,937445.0,94112.0
Address: 1949 McAllister Street,1949 Mcallister St,3.0,2.0,2160.0,01/20/2016,1505000.0,37.776786,-122.444044,North Panhandle,7.0,Condominium,1900.0,2315675.0,94115.0
Address: 10 Miller Place #701,10 Miller Pl APT 701,2.0,2.0,1000.0,01/19/2016,1290000.0,37.793228,-122.40891,Nob Hill,4.0,MultiFamily2To4,1963.0,1795546.0,94108.0
Address: 766 40th Avenue,766 40th Ave,1.0,2.0,1034.0,01/19/2016,1000000.0,37.774327,-122.500107,Outer Richmond,5.0,SingleFamily,1924.0,1101153.0,94121.0
Address: 22 Magnolia Street,22 Magnolia St,1.0,2.0,1231.0,01/19/2016,1375000.0,37.80106,-122.43171,Marina,5.0,Condominium,1927.0,1441734.0,94123.0
Address: 170 King Street #928,170 King St UNIT 928,2.0,2.0,1092.0,01/15/2016,1262500.0,37.77898,-122.391754,South Beach,4.0,Condominium,2007.0,1312018.0,94107.0
Address: 29 Cumberland Street,29 Cumberland St,1.0,3.0,1525.0,01/15/2016,1300000.0,37.758876,-122.424258,Mission,6.0,Condominium,1907.0,1537770.0,94110.0
Address: 101 Lombard Street #610W,101 Lombard St APT 610W,1.0,1.0,1030.0,01/15/2016,876500.0,37.80347,-122.40409,Telegraph Hill,4.0,Condominium,1984.0,1028719.0,94111.0
Address: 89 Theresa Street,89 Theresa St,1.0,2.0,1088.0,01/15/2016,875000.0,37.728438,-122.434292,Mission Terrace,5.0,SingleFamily,1923.0,876871.0,94112.0
Address: 2200 Sacramento Street #901,2200 Sacramento St APT 901,2.0,1.0,952.0,01/15/2016,1125000.0,37.790681,-122.429498,Pacific Heights,4.0,Condominium,1964.0,1170349.0,94115.0
Address: 2299 Sacramento Street #3,2299 Sacramento St APT 3,1.0,2.0,1406.0,01/15/2016,1150000.0,37.790011,-122.43048,Pacific Heights,5.0,Condominium,1913.0,1262766.0,94115.0
Address: 2133 Pine Street,2133-2137 Pine St,7.0,9.0,5085.0,01/15/2016,1550000.0,37.787988,-122.431495,Lower Pacific Heights,15.0,MultiFamily2To4,1900.0,5461047.0,94115.0
Address: 2670 47th Avenue,2670 47th Ave,3.0,4.0,1546.0,01/15/2016,1075000.0,37.736702,-122.505008,Outer Parkside,7.0,SingleFamily,1944.0,1013806.0,94116.0
Address: 107 19th Avenue,107 19th Ave,2.0,2.0,1125.0,01/15/2016,1150000.0,37.785783,-122.478874,Lake,4.0,Condominium,1921.0,1292703.0,94121.0
